"year_week","country_code","cases_from_tests","positivity_rate","cases_from_deaths","deaths","doses","hospitalizations","active_restrictions"
"2020-W47","AT",40694,19.5884377482009,40694,677,NA,NA,"BanOnAllEvents, ClosDaycare, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, PrivateGatheringRestrictions, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, StayHomeOrderPartial, Teleworking"
"2020-W48","AT",31125,15.8428390367554,31125,741,NA,NA,"BanOnAllEvents, ClosDaycare, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2020-W49","AT",23060,14.080722965134,23060,792,NA,NA,"BanOnAllEvents, ClosDaycare, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2020-W50","AT",18691,11.4679968585874,18691,713,NA,NA,"BanOnAllEvents, ClosDaycare, ClosHighPartial, ClosPrim, ClosPubAnyPartial, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2020-W51","AT",14849,7.99338953306848,14849,588,NA,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2020-W52","AT",13473,8.21719799220546,13473,478,NA,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAnyPartial, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, StayHomeOrderPartial, Teleworking"
"2020-W53","AT",14935,11.6993192696053,14935,401,5317,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2021-W01","AT",14571,10.6330499507425,14571,355,26317,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2021-W02","AT",10946,1.20056814754287,10946,377,85571,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2021-W03","AT",10480,0.915802931093694,10480,309,98153,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2021-W04","AT",9623,1.46756279042813,9623,298,49321,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAny, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2021-W05","AT",9162,0.95409274756218,9162,230,98266,NA,"BanOnAllEvents, ClosHighPartial, ClosPrim, ClosPubAny, ClosPubAnyPartial, ClosSec, EntertainmentVenues, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShops, PlaceOfWorship, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrder, Teleworking"
"2021-W06","AT",9540,0.645514015909146,9540,186,117454,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W07","AT",11738,0.782058884276872,11738,166,103514,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W08","AT",14312,0.904457511920298,14312,160,128312,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W09","AT",16350,0.989789129512243,16350,139,169951,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W10","AT",18326,1.00145688314442,18326,176,258834,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W11","AT",21152,1.06219985647848,21152,189,239211,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W12","AT",22407,1.07657381715974,22407,183,249595,NA,"BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W14","AT",17722,0.857120747526141,17722,218,354774,NA,"AdaptationOfWorkplace, BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RegionalStayHomeOrder, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W16","AT",15187,0.735952238458799,15187,170,353771,NA,"AdaptationOfWorkplace, BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RegionalStayHomeOrder, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W17","AT",12781,0.654818688846103,12781,159,359514,NA,"AdaptationOfWorkplace, BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RegionalStayHomeOrder, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W18","AT",8915,0.182334031036259,8915,124,454186,NA,"AdaptationOfWorkplace, BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W19","AT",5776,0.142234690193834,5776,83,426627,NA,"AdaptationOfWorkplace, BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, ClosSecPartial, EntertainmentVenuesPartial, GymsSportsCentres, HotelsOtherAccommodation, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, QuarantineForInternationalTravellers, RestaurantsCafes, RestaurantsCafesPartial, SocialCircle, StayHomeOrderPartial, Teleworking"
"2021-W20","AT",4182,0.0745796734544513,4182,54,542826,NA,"AdaptationOfWorkplace, BanOnAllEvents, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentres, GymsSportsCentresPartial, HotelsOtherAccommodation, HotelsOtherAccommodationPartial, MasksMandatoryAllSpaces, MassGather50, MassGatherAll, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, SocialCircle, Teleworking"
"2021-W21","AT",3173,0.0865024782564721,3173,48,490443,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryAllSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W22","AT",2426,0.0499228829333089,2426,33,577614,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryAllSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W23","AT",1685,0.0298253420887085,1685,22,626191,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryAllSpaces, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W24","AT",1001,0.0176681594878811,1001,16,579408,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W25","AT",681,0.012490551842118,681,12,591174,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W26","AT",632,0.0131455652957076,632,11,592048,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W27","AT",1093,0.0268413128324314,1093,2,475806,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W28","AT",2204,0.0647620055065335,2204,4,393524,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W29","AT",2522,0.0898388422259657,2522,5,346222,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W30","AT",3259,0.101186543400613,3259,4,272775,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W31","AT",3666,0.135062098723542,3666,9,229828,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W32","AT",5900,0.228271017280116,5900,9,154267,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W33","AT",8068,0.291079852858196,8068,7,126781,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W34","AT",9434,0.349015734194589,9434,27,80782,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W35","AT",11280,0.397054195785734,11280,38,73691,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W36","AT",14082,0.425584385205548,14082,41,75744,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
"2021-W37","AT",13774,0.462974478254586,13774,67,89799,NA,"AdaptationOfWorkplace, ClosHighPartial, ClosPubAnyPartial, EntertainmentVenuesPartial, GymsSportsCentresPartial, HotelsOtherAccommodationPartial, MasksMandatoryClosedSpaces, NonEssentialShopsPartial, PlaceOfWorshipPartial, PrivateGatheringRestrictionsPartial, QuarantineForInternationalTravellers, RestaurantsCafesPartial, Teleworking"
